factionID,factionName,factionColor
3SL,Third Star League,#8E926F
A,Abandoned,#202020
AB,Azami Brotherhood,#C76555
AC,Azami Caliphate,#C76555
AE,Amaris Empire,#5D8593
AG,Alliance of Galedon,#EC2027
ALC,Arc-Royal Liberty Coalition,#78B7E3
AML,Alyina Mercantile League,#00B38C
AP,Axumite Providence,#877776
AuC,Aurigan Coalition,#DB472D
AuD,Aurigan Directorate,#308040
C,Clans,#8E926F
CBR,Clan Burrock,#714834
CBS,Clan Blood Spirit,#B05739
CC,Capellan Confederation,#1D8542
CCC,Clan Cloud Cobra,#4D7E77
CCom,Capellan Commonality,#1D8542
CCY,Clan Coyote,#583822
CDP,Calderon Protectorate,#AC7355
CDS,Clan Diamond Shark,#8690A3
CF,Circinus Federation,#5F60A5
CFM,Clan Fire Mandrill,#663D37
CGB,Clan Ghost Bear,#BAE6FB
CGS,Clan Goliath Scorpion,#816A0E
CH,Capellan Hegemony,#1D8542
CHH,Clan Hell's Horses,#FAA61B
CI,Chainelane Isles,#949D93
CIH,Clan Ice Hellion,#A8C1B3
CJF,Clan Jade Falcon,#ABD375
CMN,Clan Mongoose,#CFBCD1
CNC,Clan Nova Cat,#381715
CoF,Coalition Forces,#DF7E27
CS,ComStar,#F3F3F3
CSA,Clan Star Adder,#32382F
CSF,Clan Sea Fox,#8690A3
CSJ,Clan Smoke Jaguar,#2F2E30
CSL,Clan Stone Lion,#F2A810
CSR,Clan Snow Raven,#009690
CSV,Clan Steel Viper,#A3D451
CWF,Clan Wolf,#D9743D
CWM,Clan Widowmaker,#7A6A34
CWV,Clan Wolverine,#7B6248
CWX,Clan Wolf-in-Exile,#D9743D
D,Disputed,#404040
DA,Duchy of Andurien,#617274
DC,Draconis Combine,#EC2027
DD,Duchy of Don't,
DGM,Duchy of Graham-Marik,#9E3C93
DL,Duchy of Liao,#009C55
DO,Duchy of Oriente,#A55EA6
DoO,Duchy of Orloff,#A24D9D
DS,Duchy of Small,#6B8E23
DT,Duchy of Tamarind,#9E3C93
DTA,Duchy of Tamarind-Abbey,#9E3C93
EF,Elysian Fields,#85526A
EI,Escorpión Imperio,#816A0E
FCF,Federated Commonwealth (FS),#FED600
FCL,Federated Commonwealth (LC),#1861A3
FCo,Ferris Collective,#BFAB78
FFR,Finmark Free Republic,#5D8593
FO,Federation of Oriente,#A24D9D
FoS,Federation of Skye,#5BAAA2
FR,Free Rasalhague Republic,#4E7AAC
FrR,Fronc Reaches,#7A6D5E
FS,Federated Suns,#FED600
FvC,Filtvelt Coalition,#D0C042
FWL,Free Worlds League,#A55EA6
GBD,Ghost Bear Dominion,#BAE6FB
GL,Galatean League,#5BAAA2
GV,Greater Valkyrate,#c27ba0
HL,Hanseatic League,#DB7093
I,Inhabited,#FFFFFF
IC,Ingersoll Concordium,#0B984D
IE,Interstellar Expeditions,#C1B69E
IoS,Isle of Skye,#5BAAA2
IP,Illyrian Palatinate,#D27553
JF,JàrnFòlk,#864C9E
KP,Kittery Prefecture,#DF7E27
LA,Lyran Alliance,#1861A3
LC,Lyran Commonwealth,#1861A3
LL,Lothian League,#F68C1F
LR,Liao Republic,#009C55
MA,Mosiro Archipelago,#A55EA6
MaC,Malthus Confederation,#88A49B
MarA,Marlette Association,#FED600
MC,Malagrotta Cooperative,#DB8913
MCM,Marik Commonwealth,#A55EA6
MH,Marian Hegemony,#F68C48
MOC,Magistracy of Canopus,#3D9D96
MSC,Marik-Stewart Commonwealth,#A55EA6
MuC,Muskegon Coalition,#FED600
MV,Morgraine's Valkyrate,#c27ba0
NC,Nueva Castile,#60A158
NCR,New Colony Region,#7A6D5E
NDC,New Delphi Compact,#7F978B
NOC,New Oberon Confederation,#FFE599
OA,Outworlds Alliance,#DCBF97
OC,Oberon Confederation,#FFE599
OMA,Ozawa Mercantile Association,#EC2027
OP,Oriente Protectorate,#A55EA6
OZP,Ohrenson-Zion Province,#A55EA6
PD,Protectorate of Donegal,#0070C0
PG,Principality of Gibson,#A55EA6
PoR,Principality of Rasalhague,#4E7AAC
PR,Principality of Regulus,#9E3C93
RA,Raven Alliance,#009690
RB,Republic of the Barrens,#D3AF55
RC,Rim Collection,#5D8593
RCM,Rim Commonality,#CE7577
RD,Rasalhague Dominion,#BAE6FB
RF,Regulan Fiefs,#9E3C93
RFS,Regulan Free States,#A55EA6
RS,Republic of the Sphere,#DF7E27
RT,Rim Territories,#3B739B
RU,Ragnarök Union,#D3BD48
RW,Rim Worlds Republic,#5D8593
SA,Senate Alliance,#C1B69E
SC,Stewart Commonality,#9E3C93
SE,Scorpion Empire,#816A0E
SH,Sirian Holds,
SHC,Silver Hawks Coalition,#9E3C93
SIC,St. Ives Compact,#8EAE21
SIML,St. Ives Mercantile League,#8EAE21
SiS,Sian Supremacy,#02A64F
SKC,Styk Commonality,#008B8B
SL,Star League,#8E926F
SLIE,Star League-in-Exile,#8E926F
SS,Sarna Supremacy,#0B984D
ST,Saiph Triumvirate,#808000
TA,Terran Alliance,#E17F27
TamP,Tamar Pact,#CC1637
TC,Taurian Concordat,#B73C26
TCC,Terracap Confederation,#E9967A
TD,Tortuga Dominions,#D5A52B
TFR,Tikonov Free Republic,#02A64F
TGU,Tikonov Grand Union,#02A64F
TH,Terran Hegemony,#E17F27
THa,The Havens,#93ADAC
THW,Taurian Homeworlds,#B73C26
TiC,Timbuktu Collective,#5D8593
TP,The Protectorate,#9E3C93
TR,The Republic Remnant,#F0BF93
U,Undiscovered/Uninhabited,#EFEFEF
UC,Umayyad Caliphate,#8E926F
UHC,United Hindu Collective,#FED600
VM,Vesper Marches,#8681BC
WB,Word of Blake,#808080
WE,Wolf Empire,#D9743D
X,Apocryphal,
