systemID,systemName,x,y,2271,2317,2319,2341,2366,2571,2596,2750,2765,2767,2772,2773,2774,2783,2786,2821,2822,2830,2864,3025,3030,3040,3049,3050a,3050b,3050c,3051,3052,3057,3058,3059a,3059b,3059c,3059d,3063,3067,3068,3075,3079,3081,3085,3095,3130,3135,3145,3151,3152
1,A Place,-123.764,272.182,U,U,U,U,U,U,U,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,FCL|Tamar March|Benfled Operational Area|Region 2,FCL|Tamar March|Benfled Operational Area|Region 2,FCL|Tamar March|Benfled Operational Area|Region 2,FCL|Tamar March|Benfled Operational Area|Region 2,FCL|Tamar March|Benfled Operational Area|Region 2,FCL|Tamar March|Benfled Operational Area|Region 2,FCL|Tamar March|Pandora Operational Area|Region 1,LA|Tamar March|Pandora Operational Area|Region 1,LA|Donegal Province|Pandora Theater|Arc-Royal Defense Cordon,LA|Donegal Province|Pandora Theater|Arc-Royal Defense Cordon,LA|Donegal Province|Pandora Theater|Arc-Royal Defense Cordon,LA|Donegal Province|Pandora Theater|Arc-Royal Defense Cordon,LA|Donegal Province|Pandora Theater|Arc-Royal Defense Cordon,LA|Donegal Province|Pandora Theater|Arc-Royal Defense Cordon,LA|Arc-Royal Theater,LA|Arc-Royal Theater,LA|Arc-Royal Theater,LA|Arc-Royal Theater,LA|Arc-Royal Theater,LC|Arc-Royal Theater,LC|Arc-Royal Theater,D(CJF/LC),D(CJF/LC),CJF,CJF,I
2,Aalzorg,583.881,256.931,U,U,U,U,U,U,U,OA|Traders Domain,OA|Traders Domain,OA|Traders Domain,OA|Traders Domain,OA|Traders Domain,OA|Traders Domain,OA|Traders Domain,OA|Traders Domain,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3,Abadan,-70.319,-95.949,MCM,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,MCM,MCM,RS|Prefecture VII,RS|Prefecture VII,RS|Prefecture VII,I,FWL|Clan Protectorate,FWL|Clan Protectorate,FWL|Clan Protectorate
4,Abagnar,380.231,314.823,U,U,U,U,U,U,U,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture
5,Abbadiyah,-317.967,246.551,U,U,U,U,U,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,FCL|Donegal March|Coventry Operational Area|Region 2,FCL|Donegal March|Coventry Operational Area|Region 2,FCL|Donegal March|Coventry Operational Area|Region 2,FCL|Donegal March|Coventry Operational Area|Region 2,FCL|Donegal March|Coventry Operational Area|Region 2,FCL|Donegal March|Coventry Operational Area|Region 2,FCL|Donegal March|Coventry Operational Area|Region 2,LA|Donegal March|Coventry Operational Area|Region 2,LA|Coventry Province,LA|Coventry Province,LA|Coventry Province,LA|Coventry Province,LA|Coventry Province,LA|Coventry Province,LA|Coventry Province,LA|Coventry Province,LA|Coventry Province,LA|Coventry Province,LA|Coventry Province,LC|Coventry Province,LC|Coventry Province,LC|Coventry Province,LC|Coventry Province,LC|Coventry Province,LC|Coventry Province,LC|Coventry Province
6,Abbeville,605.903,-39.852,U,U,U,U,U,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 2,FS|Draconis March|Woodbine Operational Area|Region 4,FS|Draconis March|Woodbine Operational Area|Region 4,FS|Draconis March|Woodbine Operational Area|Region 4,FS|Draconis March|Woodbine Operational Area|Region 4,FS|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FS|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FCF|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FS|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FS|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FS|Draconis March|Woodbine Operational Area|Kilbourne PDZ,FS|Periphery March|Woodbine Operational Area|Kilbourne PDZ,FS|Periphery March|Woodbine Operational Area|Kilbourne PDZ,FS|Periphery March|Woodbine Operational Area|Kilbourne PDZ,FS|Periphery March|Woodbine Operational Area|Kilbourne PDZ,FS|Periphery March|Woodbine Operational Area|Kilbourne PDZ,FS|Periphery March|Woodbine Operational Area|Kilbourne PDZ,FS|Periphery March|Woodbine Operational Area|Kilbourne PDZ,FS|Periphery March|Woodbine Operational Area|Kilbourne PDZ,FS|Periphery March|Woodbine Operational Area|Kilbourne PDZ
7,Abejorral,-299.341,127.388,U,U,U,U,U,U,U,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,FCL|Donegal March|Alarion Operational Area|Region 1,FCL|Donegal March|Alarion Operational Area|Region 1,FCL|Donegal March|Alarion Operational Area|Region 1,FCL|Donegal March|Alarion Operational Area|Region 1,FCL|Donegal March|Alarion Operational Area|Region 1,FCL|Donegal March|Alarion Operational Area|Region 1,FCL|Donegal March|Alarion Operational Area|Region 1,LA|Donegal March|Alarion Operational Area|Region 1,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Buena Province,LC|Buena Province,LC|Buena Province,LC|Buena Province,LC|Buena Province,LC|Buena Province,LC|Buena Province,LC|Bolan Province
8,Aberystwyth,-430.967,58.633,U,U,U,U,U,U,U,RW|Timbuktu Province,RW|Timbuktu Province,RW|Timbuktu Province,RW|Timbuktu Province,RW|Timbuktu Province,RW|Timbuktu Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,FCL|Periphery March|Venaria Operational Area|Region 2,FCL|Periphery March|Venaria Operational Area|Region 2,FCL|Periphery March|Venaria Operational Area|Region 2,FCL|Periphery March|Venaria Operational Area|Region 2,FCL|Periphery March|Venaria Operational Area|Region 2,FCL|Periphery March|Venaria Operational Area|Region 2,FCL|Periphery March|Venaria Operational Area|Region 2,LA|Periphery March|Venaria Operational Area|Region 2,LA|Alarion Province|Timbuktu Theater,LA|Alarion Province|Timbuktu Theater,LA|Alarion Province|Timbuktu Theater,LA|Alarion Province|Timbuktu Theater,LA|Alarion Province|Timbuktu Theater,LA|Alarion Province|Timbuktu Theater,LA|Alarion Province|Timbuktu Theater,LA|Alarion Province|Timbuktu Theater,LA|Alarion Province|Timbuktu Theater|Buena Archonette,LA|Alarion Province|Timbuktu Theater|Buena Archonette,LA|Timbuktu Theater,LC|Timbuktu Theater,LC|Timbuktu Theater,LC|Timbuktu Theater,LC|Timbuktu Theater,LC|Florida Theater,LC|Florida Theater,LC|Florida Theater
9,Abiy Adi,349.466,314.567,U,U,U,U,U,U,U,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture
10,Aboukir,-419.964,287.637,U,U,U,U,U,U,U,RW|Finmark Province,RW|Finmark Province,RW|Finmark Province,RW|Finmark Province,RW|Finmark Province,RW|Finmark Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
